f_name,fix_x,fix_y,fovea_pix,ind
_squares_3_h_h_L.png,9,96,16,1
_squares_3_h_c_L.png,9,96,16,1
_squares_3_h_i_L.png,9,96,16,1
_squares_5_h_h_L.png,9,96,16,1
_squares_5_h_c_L.png,9,96,16,1
_squares_5_h_i_L.png,9,96,16,1
_squares_7_h_h_L.png,9,96,16,1
_squares_7_h_c_L.png,9,96,16,1
_squares_7_h_i_L.png,9,96,16,1
_squares_1_v_h_L.png,9,224,16,1
_squares_1_v_c_L.png,9,224,16,1
_squares_1_v_i_L.png,9,224,16,1
_squares_3_v_h_L.png,9,224,16,1
_squares_3_v_c_L.png,9,224,16,1
_squares_3_v_i_L.png,9,224,16,1
_squares_5_v_h_L.png,9,224,16,1
_squares_5_v_c_L.png,9,224,16,1
_squares_5_v_i_L.png,9,224,16,1
_squares_7_v_h_L.png,9,224,16,1
_squares_7_v_c_L.png,9,224,16,1
_squares_7_v_i_L.png,9,224,16,1
_squares_35_n_h_L.png,9,288,16,1
_squares_3_h_h_R.png,9,96,16,1
_squares_3_h_c_R.png,9,96,16,1
_squares_3_h_i_R.png,9,96,16,1
_squares_5_h_h_R.png,9,96,16,1
_squares_5_h_c_R.png,9,96,16,1
_squares_5_h_i_R.png,9,96,16,1
_squares_7_h_h_R.png,9,96,16,1
_squares_7_h_c_R.png,9,96,16,1
_squares_7_h_i_R.png,9,96,16,1
_squares_1_v_h_R.png,9,224,16,1
_squares_1_v_c_R.png,9,224,16,1
_squares_1_v_i_R.png,9,224,16,1
_squares_3_v_h_R.png,9,224,16,1
_squares_3_v_c_R.png,9,224,16,1
_squares_3_v_i_R.png,9,224,16,1
_squares_5_v_h_R.png,9,224,16,1
_squares_5_v_c_R.png,9,224,16,1
_squares_5_v_i_R.png,9,224,16,1
_squares_7_v_h_R.png,9,224,16,1
_squares_7_v_c_R.png,9,224,16,1
_squares_7_v_i_R.png,9,224,16,1
_squares_35_n_h_R.png,9,288,16,1
